#	Company	Symbol	Weight	      Price	Chg	% Chg
36	Linde Plc	LIN	0.46%	   451.17	-2.90	(-0.64%)
37	Pepsico, Inc.	PEP	0.44%	   148.17	-4.16	(-2.73%)
38	Ge Aerospace	GE	0.44%	   195.00	3.28	(1.71%)
39	Accenture Plc	ACN	0.43%	   324.33	-3.46	(-1.06%)
40	Thermo Fisher Scientific, Inc.	TMO	0.42%	   512.65	-1.55	(-0.30%)
41	Adobe Inc.	ADBE	0.40%	   438.60	4.94	(1.14%)
42	At&t Inc.	T	0.39%	   25.72	-0.29	(-1.11%)
43	Verizon Communications	VZ	0.39%	   42.59	-0.84	(-1.93%)
44	The Walt Disney Company	DIS	0.37%	   98.76	0.86	(0.88%)
45	Intuitive Surgical Inc.	ISRG	0.37%	   497.30	3.58	(0.73%)
46	Amgen Inc	AMGN	0.36%	   312.50	-6.39	(-2.00%)
47	Rtx Corporation	RTX	0.36%	   127.96	-0.15	(-0.12%)
48	Qualcomm Inc	QCOM	0.36%	   152.80	-0.30	(-0.20%)
49	Goldman Sachs Group Inc.	GS	0.35%	   535.71	4.28	(0.81%)
50	Servicenow, Inc.	NOW	0.35%	   843.14	34.74	(4.30%)
51	Intuit Inc	INTU	0.35%	   591.14	4.43	(0.76%)
52	Caterpillar Inc.	CAT	0.35%	   338.13	-1.64	(-0.48%)
53	Progressive Corporation	PGR	0.34%	   277.55	0.61	(0.22%)
54	Texas Instruments Incorporated	TXN	0.34%	   175.70	-1.64	(-0.92%)
55	Palantir Technologies Inc. Class A	PLTR	0.34%	   83.65	5.60	(7.17%)
56	Advanced Micro Devices	AMD	0.33%	   100.79	4.03	(4.16%)
57	S&p Global Inc.	SPGI	0.32%	   478.26	-1.74	(-0.36%)
58	Nextra Energy, Inc.	NEE	0.32%	   72.92	-1.11	(-1.50%)
59	Uber Technologies, Inc.	UBER	0.31%	   71.20	0.55	(0.78%)
60	Pfizer Inc.	PFE	0.31%	   25.71	-0.28	(-1.08%)
61	Booking Holdings Inc.	BKNG	0.30%	   4,400.52	47.11	(1.08%)
62	Union Pacific Corp.	UNP	0.30%	   237.49	-0.29	(-0.12%)
63	Gilead Sciences Inc	GILD	0.30%	   113.99	-0.44	(-0.38%)
64	American Express Company	AXP	0.30%	   260.75	5.36	(2.10%)
65	Boston Scientific Corp.	BSX	0.30%	   96.42	0.90	(0.94%)
66	Morgan Stanley	MS	0.29%	   114.00	1.96	(1.75%)
67	Comcast Corp	CMCSA	0.29%	   35.19	-0.76	(-2.11%)
68	Honeywell International, Inc.	HON	0.29%	   206.35	-2.24	(-1.07%)
69	Blackrock, Inc.	BLK	0.28%	   910.06	-0.31	(-0.03%)
70	Danaher Corporation	DHR	0.28%	   204.96	-0.65	(-0.32%)
71	Lowe's Companies Inc.	LOW	0.28%	   228.33	-4.34	(-1.87%)
72	Tjx Companies, Inc.	TJX	0.28%	   115.34	-0.78	(-0.67%)
73	Citigroup Inc.	C	0.27%	   67.95	0.45	(0.67%)
74	Vertex Pharmaceuticals Inc	VRTX	0.27%	   495.42	7.08	(1.45%)
75	Stryker Corporation	SYK	0.26%	   363.84	-1.45	(-0.40%)
76	T-Mobile Us, Inc.	TMUS	0.26%	   255.61	-1.06	(-0.41%)
77	Bristol-Myers Squibb Co.	BMY	0.26%	   59.81	-1.70	(-2.76%)
78	The Charles Schwab Corporation	SCHW	0.26%	   74.22	1.75	(2.41%)
79	Conocophillips	COP	0.26%	   97.75	2.34	(2.45%)
80	Fiserv, Inc.	FI	0.26%	   211.33	-2.08	(-0.97%)
81	Applied Materials Inc	AMAT	0.26%	   149.06	2.07	(1.41%)
82	Deere & Company	DE	0.26%	   471.37	-4.13	(-0.87%)
83	Medtronic Plc	MDT	0.25%	   91.51	-1.77	(-1.90%)
